[1, 2017]	144585.8323444452
[1, 2019]	213715.9605048934
[10, 2015]	124898.76345065859
[10, 2017]	139870.05913735816
[11, 2016]	118474.20698056064
[11, 2018]	224208.95181702235
[12, 2015]	202883.632316504
[12, 2017]	125269.51047898784
[2, 2016]	130175.52141758327
[2, 2018]	131824.6970378884
[3, 2017]	147228.19778654756
[3, 2019]	248217.42927149552
[4, 2016]	95083.47755021007
[4, 2018]	236204.97904008476
[5, 2017]	152449.08294623252
[5, 2019]	183094.5693197547
[6, 2016]	130112.21626908527
[6, 2018]	180795.02085380582
[7, 2017]	132790.34469405047
[8, 2016]	119958.22676283357
[8, 2018]	185752.46188363043
[9, 2015]	99880.37666969116
[9, 2017]	146371.34922749794
[1, 2016]	140463.7812759377
[1, 2018]	102167.12354317823
[10, 2016]	117078.86856704934
[10, 2018]	202550.24404083
[11, 2015]	209520.94340378218
[11, 2017]	146613.7212948582
[12, 2016]	134463.8302327048
[12, 2018]	228197.0665342265
[2, 2017]	185771.26611789103
[2, 2019]	246776.93062665823
[3, 2016]	103585.96288806947
[3, 2018]	156114.3435117928
[4, 2017]	156866.61651822302
[4, 2019]	210658.60478696763
[5, 2016]	119737.9383389679
[5, 2018]	149300.75953211795
[6, 2017]	129488.39504908556
[6, 2019]	153578.42011967467
[7, 2016]	114490.23118436741
[7, 2018]	160946.32119566188
[8, 2015]	73133.53050098693
[8, 2017]	139510.6310349726
[9, 2016]	139595.43180709172
[9, 2018]	202264.51543298518
