[1, 2017]	22507570807.719795
[1, 2019]	14611816445.785261
[10, 2015]	53898497955.07804
[10, 2017]	17509171844.770645
[11, 2016]	24634294365.279037
[11, 2018]	16034859008.681646
[12, 2015]	55899526672.35498
[12, 2017]	33423472930.40789
[2, 2016]	69180681134.38954
[2, 2018]	23636574203.828873
[3, 2017]	23232083087.910202
[3, 2019]	18091340267.246502
[4, 2016]	23359978331.676765
[4, 2018]	13149523170.458775
[5, 2017]	23568661138.035053
[5, 2019]	14480574461.419462
[6, 2016]	23021831286.574875
[6, 2018]	16536952425.540337
[7, 2017]	25463022668.143833
[8, 2016]	22407628763.365406
[8, 2018]	18478650928.737167
[9, 2015]	56512934320.01927
[9, 2017]	30676555381.728428
[1, 2016]	56596270931.316185
[1, 2018]	52106060636.844185
[10, 2016]	32113146198.891758
[10, 2018]	14527572489.594858
[11, 2015]	53607614201.79755
[11, 2017]	15312465314.693542
[12, 2016]	50318068074.687996
[12, 2018]	16338844844.014515
[2, 2017]	23047230327.254383
[2, 2019]	28940599438.1487
[3, 2016]	32805967466.947445
[3, 2018]	15554999714.87408
[4, 2017]	22357075153.73777
[4, 2019]	11573133401.384796
[5, 2016]	23747073761.791134
[5, 2018]	17414613148.43696
[6, 2017]	30201664896.657127
[6, 2019]	15067557451.33386
[7, 2016]	22619213302.825947
[7, 2018]	27520561081.02111
[8, 2015]	160356354969.0592
[8, 2017]	25903650367.896683
[9, 2016]	25262249340.11566
[9, 2018]	15208159827.25036
